I consider myself:,Country,Response ID,Time Started,Date Submitted,Status,Language,Link Name,WiFi Router:Check all the internet connected devices you currently own:,Laptop computer:Check all the internet connected devices you currently own:,Smart phone:Check all the internet connected devices you currently own:,Smart TV:Check all the internet connected devices you currently own:,Activity Tracker (ex: Fitbit or Apple Watch):Check all the internet connected devices you currently own:,"Smarthome Hub (ex. Amazon Echo, Google Alexa):Check all the internet connected devices you currently own:",Car that connects to the internet:Check all the internet connected devices you currently own:,Smart Thermostat (ex: Nest):Check all the internet connected devices you currently own:,"Smart Appliance (ex. Coffeemaker, Refrigerator, Oven, Fridge):Check all the internet connected devices you currently own:",Smart Door Locks (ex. Door locks for your home you can open via bluetooth):Check all the internet connected devices you currently own:,"Smart Lighting (ex. Connected lighting switches, dimmers, or bulbs):Check all the internet connected devices you currently own:",Thinking about a future in which so much of your world is connected to the internet leaves you feeling:,What are you most excited about as we move toward a more digitally connected future?,What is your biggest fear as we move towards a more connected future?,"Who is most responsible for protecting the online safety, privacy, and security of the connected apps and devices you own?","Who do you most trust to help you learn how to protect your safety, security and privacy online?",Price:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Features:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Safety:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Security:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Privacy:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Reliability:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,User Reviews:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Expert Recommendation:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Friend or Family Recommendation:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Convenience:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,IoT:Check all the terms below that you could explain to a friend:,Connected Devices:Check all the terms below that you could explain to a friend:,Botnet:Check all the terms below that you could explain to a friend:,Blockchain:Check all the terms below that you could explain to a friend:,RFID:Check all the terms below that you could explain to a friend:,DDOS:Check all the terms below that you could explain to a friend:,Zero Day:Check all the terms below that you could explain to a friend:,VPN:Check all the terms below that you could explain to a friend:,TOR:Check all the terms below that you could explain to a friend:,I don‰Ûªt know what any of these things are:Check all the terms below that you could explain to a friend:,Country or Region (optional)
Average User:   I know enough to get by.,Afghanistan,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1
Average User:   I know enough to get by.,Albania,19,19,19,19,19,19,14,16,17,7,2,1,1,0,1,1,1,18,18,19,18,19,14,15,15,15,14,13,14,14,14,13,3,15,2,3,0,2,1,8,2,3,18
Average User:   I know enough to get by.,Algeria,304,304,304,304,304,304,214,255,218,103,10,11,13,6,16,6,11,285,282,288,286,285,188,188,175,182,181,185,165,172,164,186,29,190,19,12,16,27,25,113,40,70,238
Average User:   I know enough to get by.,Andorra,4,4,4,4,4,4,3,2,2,0,0,0,0,0,0,0,0,3,3,3,3,3,2,2,2,1,2,1,2,1,1,1,0,1,1,0,0,0,0,1,1,1,2
Average User:   I know enough to get by.,Angola,10,10,10,10,10,10,9,5,8,3,0,0,0,0,0,0,0,10,10,9,9,9,7,7,6,7,6,6,6,6,6,7,1,8,1,0,1,0,0,4,1,0,9
Average User:   I know enough to get by.,Anonymous Proxy,3,3,3,3,3,3,2,3,3,1,0,0,0,0,0,0,0,3,3,3,3,3,1,0,1,1,1,1,0,0,0,0,1,3,0,0,1,1,0,3,2,0,2
Average User:   I know enough to get by.,Argentina,1478,1478,1478,1478,1478,1478,1297,1041,1202,703,37,54,62,12,67,11,35,1435,1429,1425,1402,1410,1116,1060,903,814,928,868,921,947,866,970,113,948,99,83,68,195,122,443,250,403,1285
Average User:   I know enough to get by.,Armenia,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,0,0,1,0,2,2,0,2
Average User:   I know enough to get by.,Aruba,2,2,2,2,2,2,1,2,2,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,0,2,0,0,0,0,0,0,0,0,2
Average User:   I know enough to get by.,Asia/Pacific Region,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,0,0,1,0,0,1,0,0,2
Average User:   I know enough to get by.,Australia,1193,1193,1193,1193,1193,1193,976,940,898,433,130,15,87,1,55,6,32,1182,1179,1179,1173,1174,968,941,949,967,953,966,916,921,914,932,125,811,134,112,222,115,65,502,186,283,1129
Average User:   I know enough to get by.,Austria,820,820,820,820,820,820,703,684,672,253,49,20,48,10,56,9,41,807,801,803,794,796,652,629,591,626,620,646,584,588,591,611,92,543,123,78,123,99,66,306,210,180,657
Average User:   I know enough to get by.,Bahamas,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,0,0,1,1,0,1,1,2,0,0,0,2,1,1,0,1,2
Average User:   I know enough to get by.,Bahrain,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,4,4,4,4,4,4,3,2,4,3,4,2,4,2,3,1,2,0,0,0,0,0,3,2,1,3
Average User:   I know enough to get by.,Bangladesh,130,130,130,130,130,130,98,95,94,28,11,7,6,4,13,5,9,116,117,117,116,118,79,73,72,81,68,72,66,67,68,66,15,78,4,4,7,8,4,56,26,24,115
Average User:   I know enough to get by.,Barbados,5,5,5,5,5,5,5,5,5,2,4,2,0,0,1,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,4,0,0,1,0,0,2,0,1,2
Average User:   I know enough to get by.,Belarus,3,3,3,3,3,3,2,3,2,1,0,0,0,1,0,0,0,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,0,2,0,2,2,2,2,1,3
Average User:   I know enough to get by.,Belgium,1102,1102,1102,1102,1102,1102,865,941,810,328,57,28,77,41,65,12,47,1081,1067,1070,1062,1058,886,860,847,860,869,869,818,833,816,887,58,767,85,65,107,120,49,371,227,242,948
Average User:   I know enough to get by.,Belize,2,2,2,2,2,2,2,1,2,1,0,0,0,1,0,0,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Average User:   I know enough to get by.,Benin,41,41,41,41,41,41,24,34,29,9,2,1,1,0,1,0,2,39,39,37,37,34,24,24,24,24,24,24,23,23,23,23,5,30,4,5,2,6,4,11,3,5,36
Average User:   I know enough to get by.,Bolivia,197,197,197,197,197,197,144,139,140,60,6,11,14,2,13,1,9,187,189,186,184,187,144,134,118,95,116,110,106,118,107,107,8,129,11,9,4,15,11,59,24,49,159
Average User:   I know enough to get by.,Bosnia and Herzegovina,14,14,14,14,14,14,13,8,13,6,0,0,1,0,0,0,0,14,12,13,12,13,7,7,7,7,7,7,7,7,7,7,2,9,1,1,1,1,1,2,1,4,13
Average User:   I know enough to get by.,Botswana,5,5,5,5,5,5,1,4,5,2,0,0,1,1,1,1,1,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,0,4,0,0,0,0,1,2,0,1,5
Average User:   I know enough to get by.,Brazil,5780,5780,5780,5780,5780,5780,5228,4425,4996,2574,256,141,349,53,870,67,400,5612,5633,5528,5516,5516,4530,4401,4119,4303,4154,4267,3786,3918,3835,3973,337,3753,293,242,216,429,156,1589,713,1505,5261
Average User:   I know enough to get by.,Brunei Darussalam,7,7,7,7,7,7,5,7,7,0,0,1,0,0,1,0,1,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,0,5,0,1,1,1,2,4,1,1,6
Average User:   I know enough to get by.,Bulgaria,35,35,35,35,35,35,32,31,30,9,2,1,1,2,0,1,0,35,35,35,34,34,24,25,18,21,19,22,19,19,20,22,10,27,5,2,2,9,4,12,7,4,31
Average User:   I know enough to get by.,Burkina Faso,30,30,30,30,30,30,7,27,19,3,0,0,1,0,1,0,1,30,29,29,29,29,20,19,18,19,19,18,18,18,18,18,3,22,1,2,3,1,1,11,3,6,27
Average User:   I know enough to get by.,Burundi,6,6,6,6,6,6,4,6,6,1,0,0,0,0,1,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,4,0,0,0,0,0,2,0,2,5
Average User:   I know enough to get by.,Cambodia,19,19,19,19,19,19,12,16,14,3,1,0,0,0,1,0,0,18,17,18,18,18,16,14,15,16,15,16,14,15,15,15,0,13,1,1,2,3,1,11,4,3,15
Average User:   I know enough to get by.,Cameroon,120,120,120,120,120,120,56,97,96,10,2,4,1,0,7,0,6,116,113,114,113,112,81,81,80,80,79,80,74,73,74,78,7,83,6,3,0,7,7,53,8,24,100
Average User:   I know enough to get by.,Canada,2066,2066,2066,2066,2066,2066,1707,1592,1321,648,185,42,195,96,148,29,71,2036,2029,2016,2001,1998,1640,1576,1555,1615,1590,1617,1511,1520,1491,1557,169,1311,212,137,336,196,97,658,286,612,1900
Average User:   I know enough to get by.,Cape Verde,5,5,5,5,5,5,2,3,4,0,0,0,0,0,0,0,0,5,5,5,5,5,4,4,4,4,4,3,3,4,3,4,0,3,0,1,0,0,1,0,0,2,5
Average User:   I know enough to get by.,Central African Republic,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1
Average User:   I know enough to get by.,Chad,6,6,6,6,6,6,5,6,6,0,0,0,0,1,2,1,2,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,1,5,0,1,1,0,0,5,3,0,6
Average User:   I know enough to get by.,Chile,612,612,612,612,612,612,532,504,526,269,23,25,22,5,34,4,15,593,593,590,582,584,498,481,422,386,443,413,420,441,398,434,47,420,47,37,27,75,46,209,122,127,531
Average User:   I know enough to get by.,China,34,34,34,34,34,34,28,31,31,11,2,1,3,0,2,1,1,33,33,33,33,34,25,24,21,22,24,24,23,21,22,23,8,25,3,6,5,9,4,27,14,0,28
Average User:   I know enough to get by.,Christmas Island,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1
Average User:   I know enough to get by.,Colombia,1004,1004,1004,1004,1004,1004,803,795,860,466,42,53,49,15,72,24,39,967,970,965,954,952,812,793,718,659,745,709,702,737,681,736,82,680,52,97,35,85,93,365,168,244,868
Average User:   I know enough to get by.,Comoros,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Average User:   I know enough to get by.,Congo,5,5,5,5,5,5,1,5,5,1,0,0,0,0,0,0,0,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,2
Average User:   I know enough to get by.,"Congo, The Democratic Republic of the",22,22,22,22,22,22,9,18,12,4,0,0,1,0,0,0,1,20,22,22,21,21,10,10,10,10,10,10,10,10,10,10,4,14,3,4,3,3,3,9,6,6,18
Average User:   I know enough to get by.,Costa Rica,188,188,188,188,188,188,171,158,169,78,8,12,8,3,10,5,5,185,185,183,183,182,155,148,140,127,138,141,138,140,138,144,24,139,20,19,19,30,23,78,41,34,163
Average User:   I know enough to get by.,Cote D'Ivoire,112,112,112,112,112,112,57,85,93,28,1,3,3,2,6,2,4,104,99,102,99,99,70,69,66,67,67,70,65,66,64,68,6,79,6,7,4,6,3,42,15,15,80
Average User:   I know enough to get by.,Croatia,53,53,53,53,53,53,41,46,48,12,3,1,4,2,1,2,1,51,50,50,50,48,41,39,39,39,37,37,37,36,35,38,7,32,7,2,5,8,1,29,11,10,43
Average User:   I know enough to get by.,Cuba,39,39,39,39,39,39,9,23,13,0,0,0,0,0,0,0,0,38,39,38,39,39,27,26,24,20,23,23,20,24,20,23,0,20,1,3,2,1,5,12,2,15,35
Average User:   I know enough to get by.,Curacao,4,4,4,4,4,4,3,2,4,2,0,0,0,0,0,0,0,4,4,4,4,4,2,2,4,4,3,3,2,2,3,2,0,3,0,0,0,0,0,3,0,1,4
Average User:   I know enough to get by.,Cyprus,16,16,16,16,16,16,14,15,13,5,2,0,0,0,1,0,0,16,16,16,15,16,9,9,11,10,11,12,9,9,9,10,2,12,2,0,2,1,1,8,2,2,14
Average User:   I know enough to get by.,Czech Republic,33,33,33,33,33,33,26,27,24,10,1,0,1,1,0,0,1,33,33,32,33,33,27,27,24,26,25,27,27,26,25,26,7,25,7,5,6,9,5,17,9,7,30
Average User:   I know enough to get by.,Denmark,59,59,59,59,59,59,54,47,49,18,4,1,3,3,3,2,0,59,59,59,58,59,47,42,43,45,43,48,40,40,41,44,7,32,9,2,8,8,4,24,17,16,51
Average User:   I know enough to get by.,Djibouti,7,7,7,7,7,7,3,6,3,1,0,0,0,0,0,0,0,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0,0,1,2,0,2,4
Average User:   I know enough to get by.,Dominica,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1
Average User:   I know enough to get by.,Dominican Republic,91,91,91,91,91,91,74,73,76,32,2,5,3,0,3,0,1,86,86,87,87,84,66,63,48,52,56,53,48,58,52,55,9,66,9,5,6,9,10,37,13,19,71
Average User:   I know enough to get by.,Ecuador,691,691,691,691,691,691,591,499,533,319,33,37,36,8,55,13,30,661,661,656,648,652,531,494,446,394,454,410,421,444,405,455,28,452,31,39,28,50,64,202,74,172,584
Average User:   I know enough to get by.,Egypt,36,36,36,36,36,36,30,28,28,9,6,2,5,2,4,2,2,29,29,30,29,28,21,19,20,22,20,20,19,19,18,19,2,17,2,2,2,7,3,17,7,8,30
Average User:   I know enough to get by.,El Salvador,161,161,161,161,161,161,128,114,135,75,5,12,3,4,10,2,4,156,155,157,154,154,138,129,118,101,122,116,114,121,112,124,11,106,8,8,6,14,19,52,24,41,138
